sticker_id,labeled_queries
1360886329340073302.gif,"泪流成河, OwO, 感动哭, 羡慕哭啦！, 星星眼, 激动, 喜极而泣"
1391391008142393347.gif,"担心, 恐惧, 恐慌, 害怕, 瑟瑟发抖, 吓"
1391391008142393358.gif,"大哭, 伤心, 哇唔, 难过, 泪流满面, 泪流成河"
1391391008142393363.gif,"我要, 想要, 嗯嗯, 好, 没问题, 太好了, 真的吗, 不敢相信, 狂点头, 红色樱桃状"
1391391008142393460.gif,"我是个笑话吗, 无奈, 无语, 是玩笑吗, am i a joke, 小丑, 不爽, 认真点"
1405493022157701125.gif,"跳舞, 青蛙"
1471004892762996804.gif,"我没事（bushi, 我还可以继续, I'm fine, 流动下台阶, 蓝色的猫咪"
1494180970083909751.gif,"哈哈哈哈, 搞笑"
1556835416127045699.gif,"了了了了, 啦啦啦啦, 不想听你说, 不听不听, 略略略, 吐舌头"
1569031431030571585.png,"咬牙坚持, 瞪大双眼, 走马灯, 咬牙切齿, 可以的, 坚持, 不放弃"
1592756632805186008.gif,"吃瓜, 期待, 鼓掌, 棒棒, 赞"
1592756632805186062.png,"很忙,？？？"
1592756632805186118.gif,"抓心, 好奇, 快说！, 挠痒痒, 挠胸口"
1592756632805186122.gif,"修指甲, 鄙视"
1592756632805186585.png,"借酒消愁, 干了"
1630841254575079609.gif,"突突突, 打枪, 击败你, 选择暴力"
1630841254575079632.gif,"明白, ？？？, 疑惑"
1630841254575079641.gif,"哈哈大笑, 搞笑, 拍沙发, 哈哈哈, 笑死了, 大笑"
1630841254575079651.gif,"怎么回事小老弟, 不爽, 怎么回事, 小老弟, 戳"
1630841254575079656.gif,"哈哈哈哈哈, 大笑, 哈哈哈, 高兴, 开心"
1630841254575080023.gif,"攻击, 过来打你, 提着大刀, 愤怒, 奔跑"
1801939437249101981.gif,"大舌头, 长舌, 灵魂出窍, 跪了"
182751983726232083.png,"吓, 害怕, 惊悚, 缩在角落, 惊吓, 惊恐, 天啊"
182751983726232148.png,"击毙你, 严肃猫, 你想清楚"
182751983726232156.png,"震惊, 无语"
1833747660100599875.png,"嘻嘻, 斜眼, 嘿嘿"
1833747660100599879.png,"给你点赞, 不愧是你, 双倍赞, 干得漂亮, 赞, nice, good"
1833747660100599880.png,"肥猫大哭, 绝望, 怎么办, 这下子完了, 难过, 肥猫, 泪流成河, 伤心, 哭, 呜呜"
1833747660100599887.png,"肥猫, 鄙视, 你确定吗, 怀疑, 认真的吗？, 猫咪, 双下巴"
186649756741665162.gif,"笑哭, 难受, 青蛙, 笑哭了, 绿青蛙, 箍牙"
187378887569703150.png,"praise the Lord!, 赞美耶稣, praise the lord, yeah"
1959275874691842146.png,"中枪, 目瞪口呆"
198787403039638196.png,"伤心, 哭, 难过, 作业要写不完了, 呜呜呜"
1998657550815330339.png,"辣眼睛, 不忍直视, 不想看, 难过, 哭泣, 难受"
2068366502116983150.png,"aaaa, 崩溃"
2157482469304041497.gif,"呜呜, 难过, 哭哭, 没办法做到"
2182516944614195261.png,"突然出现, 在这里, 开心, 来咯, 探头, 嘻嘻, 微笑, 宝宝"
2182516944614195294.png,"害怕, 灰色衣服小孩, 摊手, 下面往上看"
2182516944614195333.png,"小女孩, 戳脸颊, 墨镜, 可爱"
2193800188773011470.gif,"挂了, 死了, 吊着, 倒立, 绑住脚, 荡"
2193800188773011597.gif,"飞踢, 踹倒, 熊, 踢飞, 去死, 欠揍, 打你, 滚"
2193800188773011752.gif,"嘻嘻吼吼, 变异笑, 狂笑, 哈哈哈大笑, 半捂嘴"
2193800188773011871.gif,"旋转,转圈圈"
2193800188773011896.gif,"开心, 踏步, 嘻嘻, 啦啦啦, 快乐, 高抬腿跳"
2193800188773011897.gif,"嘻嘻, 开心, >U<, 开心地倒下, 哈哈大笑, 笑趴了, 笑死了"
2193800188773012057.gif,"哭, 呜呜, 泪流满面, 难过, 伤心, qwq, ww, 哭泣, 难受"
2267317642194845756.gif,"哎, 面壁, 难过"
2267317642194845781.gif,"金光闪闪, 变青蛙"
2267317642194845814.gif,"扭屁股, 爽, 开心, 鸟"
227521399969809576.png,"泪流满面, 伤心欲绝, 哭死, 难过, 坐在眼泪里, 哭, 悲伤, 逆流成河"
234944112774611771.gif,"让我想想, 思考, 🤔, 丑外星人, 摸下巴"
2350329275443314871.png,"小哭, 大哭, 扭曲脸, 哭, 扭曲"
2350329275443314887.png,"杀了我, 好痛苦, 🥹, 枪, 流泪, 果冻眼, 流泪开枪"
2350329275443314933.png,"偷看, 害羞, 吃瓜, 炸裂"
2480667625772810592.gif,"汗流浃背, 哭泣, 摔倒, 泪如雨下, 给跪了, 绝望, 泣不成声"
2480667625772810593.gif,"ok, 好的, 没问题, 妥了, 可爱的ok, OK"
2562980648230846730.gif,"哈哈哈, 笑死, xs, 笑到飙泪, 忍者, 大笑, 笑出眼泪, 吃惊"
263860190548328541.png,"大无语, 来真的吗, 不会吧, 崩溃, 无语, 头痛, 无奈, 疯掉了, 扯脸皮子"
263860190548328549.png,"超级伤心, 难过, 眼泪泡粥, 伤心欲绝"
273008397874367890.gif,"看不到我, 疯狂挥手, 青蛙, 耶, 棒"
273008397874367917.gif,"跑, 走, 赶路, 路上, 奔跑, 狂奔, 青蛙"
2737268664460902429.gif,"尴尬, 不好意思, 熊猫, 额头冒汗"
2879204968382857236.png,"满意, 嘿嘿, 阿妮亚, 猜不透"
3212654065896919195.gif,"加油, 你行的, 可以的, 相信自己, 你是最棒的, 哦耶, 收到, yes sir"
3212654065896919665.gif,"丘比特, 射心, 射箭, 爱心, 命中"
3212654065896919669.gif,"沮丧, 唉声叹气, 想放弃, 哎, 叹气, 难过, 累了"
3212654065896919672.gif,"难过, 伤心, 害怕, 无助, /w\, 委屈, 委屈巴巴, 可怜兮兮"
3212654065896919681.gif,"晚安, 玩手机, 睡觉了, 在被窝里, 休息, 舒服, 睡觉, 被窝看手机"
3212654065896920972.gif,"你懂的哦, 好棒的, 可以的哦, 耶, 指枪, 发星, 嘿！"
3212654065896920973.gif,"爱你, 开心, 谢谢, 嘻嘻, 相亲相爱, 背靠背, 比心"
3212654065896921394.gif,"睡觉, 好困, 困死了"
331131228218459239.png,"不可能, 不行, noway"
3323402744004894.gif,"大哭, 呜呜, 柴犬, 难过, 伤心, 泪流成河, 止不住眼泪"
3323402744004922.gif,"汗流浃背, 压力大"
3323402744004924.gif,"呵呵呵, 嘻嘻, 哈哈, 大笑"
3323402744004929.gif,"我的天啊！, 震惊, 惊呆了, 惊讶, 天啊, 不会吧"
3474244739891462431.png,"凝视, 无话可说, 嘿嘿"
3504956075340201986.png,"严肃思考, 想想, 想一下, 专注思考"
359258651212383475.png,"害羞, 不好意思, 羞羞, 脸红, 没眼看, 捂眼睛, 脸红心跳"
359541685262226181.gif,"开心, 笑死我了, 倒地, 笑得四脚朝天, 猫咪, 笑得肚子疼"
441671243897241893.gif,"鼓掌, 排长, 太好了, 讽刺, 搓搓手, 不知所措, 怎么办怎么办"
4907045451879941139.png,"施法, 看表, 额, 不要啊, 我拒绝, 无语"
4907084080815801337.png,"静静的看着你, 劳资数到三"
4909308620472058340.png,"哇, 感动, 爱你, 么么哒"
4911271261612540311.png,"深度思考, 炸裂, 🤯"
4938207282153391325.png,"探头, 泄气, 无神, 吐气, 叹气, 没钱了"
4938246237506766030.png,"思考, 元神"
4938678500195304002.png,"害怕, 震惊, 颤栗, 瞪大双眼"
4940719524488938584.png,"我就静静的,喝茶"
4947563151148188199.png,"stop, 停, 扇子遮脸, 蓝色马尾女孩, 别说了, 阻止"
4958975094002024771.png,"凝视, 黑人, 奥尼尔"
4972358186326557300.webm,"天塌了, 抖动式哭法, 天啊, 啊啊啊, 怎么办, 崩溃"
499916253176007558.gif,"赞, 优秀, 竖大拇指, 大家都很棒！, 合作共赢"
5012542733571589183.webm,"不爽, 尖叫, 咆哮, 啊啊啊？！, 什么玩意儿？！"
5012911314780029638.png,"听不清, 无奈, 咒术回战, 猛男"
5062125214721114434.png,"拥抱, 青蛙"
5071183871979028853.png,"哭哭, 呜呜, 太感动, 感动哭, 爱你, 谢谢, 🥹, 鸭子, 太感动了"
5089182250260496985.png,"求你, 拜托了, 🙏🏻, 元神, 求你了, 好不好"
5089225290127770152.png,"哭泣, 不开心, 呜呜呜, 泪目了, 眼睛掉小珍珠了"
5091430777309102619.png,"不开心, 发脾气, 元神"
5091809666439054055.png,"我, 老子, 😉, 眨眼"
5096369019036894340.webm,"捧腹大笑, 啊哈哈哈, 笑, 笑哭"
5103119054063796920.webm,"直流口水, 好饿, 肚子饿, 吃东西, 奶龙, 馋, 流口水, 张大嘴"
5114328948771127638.png,"啊啊啊, 不要啊！, 难受"
5116148296917713523.png,":3, 奸笑, 拿捏, 猫, >:3"
5116254940955672863.png,"哇~, 星星眼, 开心, 白毛小女孩, 激动"
5116630553025577257.png,"跑路, 逃, 溜了, 告辞了, 拜拜"
5120670772926349559.png,"红头发小女孩, 无语, 抿嘴, 不爽"
5134136826839171947.png,"呜呜, qwq, 可怜我, 🥺, 臥蠶眼, 蝴蝶结, 老鼠, 可怜"
5152322998270690365.png,"呵呵, 貓福珊, 猫猫鲨鱼"
5161376900999808109.png,"老鼠, 瞪大眼睛, 不敢睁开眼希望是我的幻觉, 大吃一惊, 惊讶, 紧张, 不敢说话, 蓝色老鼠, 惊呆了, 老实了, 老实, 无助, 犹豫, 已老实, 呆住"
5167882543797633865.webm,"无语, 翻白眼, 我屌！, 哎, 服了, 我去"
5167932180734673468.webm,"放大比心, ❤️, 比心, 爱你哦, 爱心"
5167957825984397829.webm,"啊啊啊啊啊, 震惊, 惊呆, ！, 啊, 猫, 尖叫, 呐喊"
5167958693567791856.webm,"好困啊, 睡觉了, 去睡吧, 晚安, 懒, 好累, s了, 不想动"
5167970285684523595.webm,"胆小小猫, 畏缩, 暗中观察, 偷看, 探头, 紧张, 还好吗, 害怕"
5168130586748912290.webm,"无语, 尴尬, 呵呵, 猫, 礼貌微笑"
5168185068409062171.webm,"嗨, 摇晃, 爽, 蹦迪, 玩耍, 去high, 爽玩, 听音乐, 陶醉"
5168385974094267164.webm,"累死了, 升天了, 要挂了, 翻白眼, 原地去世"
5168389994183656137.webm,"蹦迪小猫, 蹦迪, 开心, high翻天"
5168392846041940694.webm,"变脸, 别笑哦, 严肃起来"
5195221651314191918.png,"放弃, 不行了, 躺平, dum, 躺着"
5195289584811915556.webm,"脱衣服, 耍帅, 男生, 黑白, 拖夹克"
5197700289825620558.webm,"猫meme, 跳舞, 肚皮舞, 拽, 猫"
5199516893488104544.webm,"崩溃大哭, 泪流成河, 呆毛, 难过, 伤心, 元神"
5202214171604699176.webm,"不开心, 发脾气, 生气, 哇啊啊, 喜欢欺负我, 委屈"
5208603317709575362.png,"不错不错, 欣慰, 眯眼笑, 好, 嗯, 微笑, 金发男"
5208764211479450935.webm,"点头, 同意"
5211189235914117983.gif,"给你,给"
5215523807103565872.webm,"对视, 不想理你, 黑猫, 默默看着你, 请继续表演"
5217577170838241432.webm,"白眼, 呕吐, 难受"
5217660278455420714.webm,"小浣熊, 跳舞, 围着镜头, 转圈"
5217748226500739939.webm,"喵, 乖猫, 无辜, mreow, 哭哭, 委屈, 哼唧, 哼哼, 哄我, 无奈, 猫咪, 叫唤"
5219689994100151030.webm,"靠近观察, 让我看看, 猫猫头, 盯着看, 近距离看"
5222427889722463681.png,"舔, 仰头, 八字眉头, 吐舌"
5224223186052200035.gif,"power！, 力量, 强壮, 健身, 肱二头肌, 生气, 秀肌肉, 别惹我"
5226527551970612153.webm,"害怕, 狗狗站立, 犯错, 角落"
5226746994734674777.gif,"笑出眼泪, 笑得喘不过气, 笑哭, 哈哈, 大笑, 喷泪"
5228712307344819910.webm,"开心, 蓝发微笑男孩, 撒彩带, 彩带, 微笑, 男"
5235815444518029481.webm,"邦邦给你两拳, 揍你, 粉色头发小人, 打你, 打拳"
5242201725879716703.png,"我没事, 我还能打, 忍得住, 捅了一刀, 还可以"
5242257410130715366.webm,"开心, 一级棒, 棒棒的, 优秀, 你真厉害, 好啊, 棒, 赞, 厉害"
5242586361675927744.webm,"雅塔, 闪耀登场, 好的, 耶, v手势, yeah"
5253454269612309105.webm,"呕, 恶心, yue, 呕吐, 难受"
5254010235948909081.webm,"无奈, 无语泰迪, 泪汪汪, 哭哭, 哼唧"
5260334510867763449.webm,"献出, 汗流浃背"
5260470721460582281.webm,"躺着, 晚安, 一起睡觉, 那维莱特, 原神, 躺在水上, 安详"
526235993154519697.png,"OK, 好的"
5264731496521928466.png,"下地狱, 鬼灭之刃, 蝴蝶忍, 威胁, 去死, GO TO HELL, 去s, 滚"
5273809884859615207.png,"大佬, 坐在沙发上, 我如何帮你, how can i help?, 我要怎么帮你？, 帅气, boss"
5273811804709982368.gif,"谢谢, 万分感谢, 感谢, 感恩, thanks, 谢啦"
5274176490383100369.webm,"弹琴, 尤克里里, 得瑟, 弹吉他, 音乐"
5280573698141607344.png,"就决定是你了, 怎么老是你？！"
5287433984978982047.webm,"悲伤,面无表情"
5289862088905201398.webm,"摇头, 点头"
5289967233999575505.webm,"凑近, 放大, 眨眼, 面无表情"
5289974883336329087.webm,"怎么样, 打打打打打, 拍打"
5296271137888553567.webm,"得瑟, 打我啊"
5301271489138398007.gif,"变坏, 变异, 邪恶, 病变, 青蛙, 变色, 变怪兽"
5303194032464220303.webm,"爽, 开心, 羡慕我吧"
5303258001707110413.gif,"骂, 怪物, 着火, 愤怒, 脏话, 咆哮"
5307603537948069491.png,"e m, 无语"
5307796661152533370.png,"疑问, 炸毛, 你在说啥, 你认真的吗, 白眼"
5314407964440794292.gif,"晕, 困扰, 公主, 困扰倒下"
5316919347782881871.png,"呃…, 无奈, 累, 什么？, 额, 呆住"
5317040349896526843.webm,"惊讶, 咬你, 咬人, 生气"
5318812307373954060.png,"投降, 拿我没办法"
5318840997755490193.png,"无语, 呆目, 死鱼眼"
5318848969214792192.png,"威胁,投降,不敢"
5318854475362865176.png,"文豪野犬, 绷带男, 无语, 冷漠, 呜呜呜, 累了, 受伤"
5318860617166098398.png,"嘿嘿, 鬼鬼祟祟, 瞅一瞅, 就一眼"
5319143505187049326.png,"副驾驶, 撑头睡觉, 闭眼休息, 困了, 睡着了"
5319166040880451693.png,"微笑, 看书, 开心, 嘻嘻, 读书, 干嘛"
5325547756691917816.png,"艾伦, 正视加腹肌"
5334698266120436813.webm,"Wink, 比心"
5345813237755562265.webm,"抓狂, 发疯, 癫, 发脾气, 不爽, 不开心, >n<"
5348316082702666034.png,"看书, 与我无关, 独自安静"
534909855702450568.png,"emo, 难过, 伤心, 准备哭泣, 绿色青蛙, 悲伤"
5355303217104170967.png,"口罩男, 真的可以吗？, 拜托了"
5363789101818455647.png,"喜爱, 比心, 很多心"
5364248165102918884.png,"不清楚, 你问他, 不知道, 别问我, 史莱克, emm, 欲言又止"
5368381379635581766.png,"不好意思, 画圈圈, 指, 看这里"
5368393169320818229.gif,"震惊, 感叹号"
5368403447177560301.webm,"傻眼, 我晕"
5368496420334617570.webm,"傻眼, 我晕"
5368526601069805535.webm,"兴奋, 你好, 挥手, 开心认识你, hi, 摇手, 打招呼"
5368654024159543458.webm,"微笑, 没问题, 可以, 你好, 开心认识你, 温柔笑, 开心"
5379585312928304150.png,"鼠鼠背影, 背带裤蓝色小鼠, 转身离开"
5379593958697479994.png,"喝咖啡, 冷酷, 斜眼"
5380097672461956696.png,"黑发帅哥, 撑脑袋, 盯"
5382074469814635172.png,"心碎小人, 躺在床上默默流泪, 心死了, 眼泪滑落到枕头, 心碎, 流泪, 难过, 伤心, 心痛, 心如刀割"
5382188213433535803.png,"哦？, 说漏了, 捂嘴, 难道说对了, 哦吼？, 不可能, oops, 说错话, 不可思议"
5382284510895299967.png,"怀疑, 猜我信不信, 我想想, 思考, 对了"
5384608625073334226.webm,"难过, 沮丧, 猫, 你就喜欢欺负我, 没精神, 躺着, 无所事事"
5388600728455496387.png,"泪流满面, 扮可怜, 同情, 呜呜呜, 流泪, 555, 泪目"
5390869570699401064.png,"哭泣, 伤心, 掩面"
5391177180552106514.png,"无语, 满脸问号, 看不懂, 女生"
5395710638792132506.webm,"得瑟, 浪, 丑陋舞, 畸形舞"
5397603306325425879.webm,"不爽, 生气, 无语, 皱眉头, 生闷气, 哼"
5397687938655992993.webm,"小猫拟人, 哭哭, 无力, 绿色头发小女孩"
5397833194449931612.png,"笑哭, 咧嘴大笑, 鸡蛋眼, 狂笑"
5397922070208200185.webm,"哇, 感动, 难过, 哇哇哇, 捂嘴, 不可置信, 可爱, 麻花辫"
5400086630646158284.png,"震惊, 三条线, 不会吧, 怎么了, 哇哦, |^|''', 惊讶"
5404427644286540616.gif,"难怪, 不敢言语, 伤心, 憋笑, 咬双手, 哈哈"
5407007274658960437.png,"额, 无语"
5407124720539676485.png,"背着行囊的蚂蚁, 苦涩, 离家出走, 负担很重, carry不了, 压力太大, 煎熬的日子"
541175087705898939.png,"微笑, 爱心, 开心, 爱你, 手抱脸"
541175087705898961.png,"不管不顾, damn, 小女孩叹气"
541175087705903954.png,"哦, 盒子, 哭哭, 哼唧"
541175087705903995.png,"没事,安慰"
5413665049493387814.webm,"吐烟圈, 吸烟, 抽烟, 愁"
5413697145783989344.gif,"头晕目眩, 转不动了"
5418158860890292859.webm,"太棒了, 赞, 厉害, 鼓掌, 真棒"
5420297801848334827.png,"害羞, 斜视, 嘿嘿, 嘻嘻, OvO"
5425131113230116238.gif,"难过, 痛哭流涕, 泪水成河, 安抚自己, 安慰自己, 泪流成河, 伤心"
5429618477881104725.png,"啊啊啊啊啊, a a a a a, 大吃一惊, 发狂, Aaaaaaaaaa, 怎么办"
5433703039024249379.webm,"作法,施魔法,原神"
5438104418429975563.webm,"不会吧, 感动, 心, 喜欢, 想要, 开心"
5440446687434778250.webm,"暗笑,奸笑"
5440460933841299887.webm,"眨眼, 微笑, 对"
5440500112532972502.webm,"吃瓜"
5442762409246729110.webm,"下雨, 发呆, 感受, 忧愁, 赏雨, 黑长直"
5447207455584962337.webm,"咆哮, 大叫, 成功了, 妥了, 成了"
5451849821310693879.webm,"满足, 可爱, 好吃, 咪呀咪呀, 吃饱了"
5451857505007185450.gif,"好, 真棒, 竖拇指, 厉害, 超赞！"
5453986301252482012.webm,"地狱笑, 黑人, 没憋住, 笑死了, 哈哈, 笑s了"
5454124504710136886.webm,"hi, 你好, 挥手, 打招呼"
5454148444857835100.webm,"乖巧猫, 斯文猫"
5454268948755269027.png,"坚定"
5454378350162233008.png,"思考,无奈,无神"
5456468495996820995.webm,"仰视, 颤抖小猫, 泰山压顶, 发癫, 发狂, 爽翻天, 兴奋, 肚皮舞"
5456543331506986617.webm,"啊, 没准备, 突袭, 偷袭, 意料之外, 防不胜防, 猫"
5458446053558728885.webm,"麦当劳小猫, 黑白奶牛猫, 盯, 麦当劳"
5458475809092155697.webm,"嘻嘻, 你懂的, 柯基犬, 柯基, 笑, 密谋得逞的笑, 邪魅柯基"
5458573347799448951.webm,"戴耳机, 你听听, 被迫营业, 猫, 强制性, 逼听"
5458641088023641504.webm,"等饭小猫, 啥时候开饭, 猫猫摇晃小碗, 要吃饭, 干饭"
5458718040952684027.webm,"happy happy happy, 开心, 猫, 嘻嘻, 哈批哈批哈批, 哈啤哈啤哈啤, 跳舞"
5458720295810512567.webm,"打你, 揍你, 欠打, 老欺负我, 欠揍, 再说, 猫, 还说, 去死"
5458762214691322011.webm,"开心, 摇屁股, 狗, 爽high, 扭屁股, 傻狗, 好开心, 跳舞"
5458764585513270764.webm,"抓狂, 救救我, 痛苦, 啊, ！, 怎么办, 糟糕, 猫, 捂住耳朵, 崩溃, 捂头, 啊啊啊啊, 不听不听"
5458853461271525655.webm,"天啊, ！, 啊, 怎么办, 震惊, 不会吧, 猫, 啊啊啊啊, 抬头望天, 崩溃"
5460669313314724334.webm,"快乐, 吃, 得瑟, 开心, 不张嘴笑, 看热闹, 笑"
5460692424533757643.webm,"小猫嗅嗅, 闻闻, 好香, 嗅, 闻"
5460925671322687118.webm,"休闲, 猫猫, 打哈气, 歪头"
5461106128668604900.webm,"偷偷看, 小心翼翼, 侧脸看"
5461114808797502677.webm,"忍住, 别喷, 控制, 内控, 手抖, 喝茶"
5463327077732205953.png,"冷汗, 惊恐, 婉拒, 黑色挑染"
5463401917537338296.png,"墨镜, 酷, 帅, 耍酷, 朋克手势, 女生"
5465545351031172527.webm,"迷茫, ？, 疑惑"
563108579448455596.png,"确定吗, 说什么, 再说一遍, 拉下墨镜, 得瑟, 推墨镜"
569118802063655903.gif,"哭笑不得, 青蛙"
569118802063656024.gif,"泪流满面, 青蛙, 绿青蛙, 哭了"
575666406691967024.gif,"伸舌头, 调皮, 略略略, 嘿嘿嘿, 嘻嘻嘻"
575666406691967029.gif,"伤心, 难过, 难过倒地, 哭, 难受"
575666406691967033.gif,"跳舞,打气"
575666406691967034.gif,"难过到放屁, 放屁, 嘿嘿"
575666406691967047.gif,"空闲, 挠胸口, 挠痒痒, 白色小人"
575666406691967069.gif,"感谢, 乖巧, thank you, 谢谢你, 白馒头"
576081150208901458.png,"求你了, 拜托了, 麻烦了, 牛马人生"
576081150208902926.png,"饿了,馋"
5764709378183664220.webm,"无语凝噎, 委屈, 泪流满面, 哭"
5764919707027115028.png,"嘻嘻, 呵呵, 说对了, 猜到了"
5764969210820169448.png,"喝奶茶, 无聊, 原神, 咕噜咕噜, 元神"
5767102271967989613.png,"记录, 记笔记, 企鹅"
5767276252503215601.webm,"给你一根烟的时间, 展开说说, 抽烟, 休息"
5771429026316946249.webm,"震惊,极端了"
5771621569700827976.webm,"惊醒, 灵机一动, 想到了, 懂了, 搞明白了"
5773875877775411911.webm,"开心, 嗨, 蹦蹦跳跳, 蹦迪, 玩耍"
5773950464177474520.webm,"小猫, 掐住, 闭眼, 凶巴巴, 小猫咪, 人手, 猫坏人坏"
5778208623603749670.webm,"哥就是帅, 墨镜, 骄傲, 戴墨镜, 耍酷"
5778383067995443756.webm,"乖巧, 是我, 有礼貌, 指向我"
577913907243385218.png,"开心,笑"
5780456523587129501.png,"满足, 幸运光环, 眯眼笑"
5780613105209839806.webm,"无奈, 宝宝无语, 扶额, 哎, 叹气, 烦"
5780745141094453160.webm,"再见, 跳楼, 离开, goodbye chat, 跳下去"
5780782030568559122.png,"哎, 很烦, 烦s了, 乱糟糟, 刚睡醒, 烦, 不爽, 发毛"
5782720353604209195.webm,"点头, 乖巧"
5784894547653824381.png,"震惊, 睁大眼睛, 瞳孔地震"
5791831886204505987.webm,"别弄我生气哦, 要发脾气了, 马上发脾气了, 手叉腰, 盯, 哼"
5792049065520794365.gif,"悄悄退下, 溜了, 走了, 再见, 芭蕾, 白色小猫, 退场"
5798450125864962790.png,"写笔记, 记录, 青蛙"
5801038449251190947.png,"微笑,你懂的"
5803327645345122600.png,"射箭"
5805196810817375697.webm,"小猫, 蹦迪, 开心, high猫, 猫猫蹦迪, 接着奏乐接着舞, 动次打次"
5805197489422209987.png,"闪耀登场, 来了, 到了, 出现了, 元神, 我来了"
5810139162828870050.png,"满意, 开心"
5812282879790553101.png,"抱臂走路, 头顶行李, 轻轻松松, 压力, 生活, 难顶"
5812316810032188260.png,"真的吗？, 星星眼, 崇拜, 真的吗, 好棒, 哇塞, 太厉害了, 哇呀"
5816832302424004647.png,"难过, 伤心, 看地上, 委屈宝宝, 粉发, 小珍珠, 害羞"
5821421762742587183.png,"开心, 大笑, 可爱, 爱心, 微笑, 你好, 女生, 元神"
5823495132434926545.webm,"困, 黄色猫咪, 躺在地上, 惬意睡觉, 摊开"
5825492498385998298.png,"盯着,在听"
5825925405319631300.webm,"不知道啊, 无所谓, 都可以"
5825967994215339973.webm,"哭花脸, 太让人伤心了, 羞愧的哭, 阿尼亚, 哭, 难过, 伤心, 流泪, 泪流满面"
5836732294655642795.gif,"鬼脸, 傻子, 白色小熊, 比鬼脸, 戳嘴角"
5836790306778910167.webm,"吃苹果, 你说我听, 吃得到处都是, 嚼, 吃, 吃水果"
5836935807385996902.webm,"吨吨吨, 喝酒, 原神, 好喝, 美味, 可口, 爽, 开心, 干了"
5841543255027617154.png,"憋笑, 认真的吗, 不是哥们, 恐慌"
5850627557535258354.png,"企鹅,noot your day"
5852464588062199730.webm,"探头, 怎么了, 好奇, 兔子"
5852497380137505010.webm,"+1, 数数, 扣1, 我也是, 加一"
5852535798619967432.webm,"不要, 疯狂摇头, 不, 不行, 拒绝, 鼓掌, 厉害, 真棒"
5852558123859972313.webm,"抹泪, 伤心, 哭泣, 擦泪"
5852610449446540005.webm,"嘘, 安静, 小声, 🤫"
5852718192996126562.png,"可爱, 女生, 侧脸, 笑, 田园风, 星星"
5852747570572431294.webm,"丝滑, 骑车, 来了来了, 在路上了, 马上, 等等我"
5852749413113401777.webm,"突突突, 打枪, 玩耍, 玩水枪, 突突突打你"
